review,sentiment
Anyone who gives this movie less than 8 needs to step outside & puff a couple. Great story.<br /><br />Reality is for people who can't handle drugs.,positive
"I guess I only have myself to blame for the gigantic disillusion that is ""Entrails of a Virgin"". You already know not to expect a cinematic masterpiece when you see a juicy and proudly promoted title like this and the first impression only gets extra confirmed when noticing the film is a mid-80's production from Japan. Now, there are quite a lot of demented and sick filmmakers active in Japan, but Kazuo Komizu surpasses them all with his thoroughly depraved and sickening trilogy revolving on nothing but aggressive sex and the sadistic abuse of young girls. Not even attempting to tell a story, ""Entrails of a Virgin"" simply presents a hodgepodge of UN-arousing semi-pornographic sex and truly poor gore-effects that wouldn't even please the most undemanding fan of cheesy 80's horror. Images of a bunch of photographers and their fashion models are inexplicably intercut with scenes of a filthy pervert having crude sex with a seemly under-aged girl. He dumps her not even a minute after climaxing (typical) and she begs him to stay, even if she has to share him with other women. I don't get it. Is this supposed to represent a general male fantasy? Because it's really clichéd and wrongful. Anyways, back to the bunch of horny photographers and docile models. Surprised by upcoming fog on their way home, the group entrenches themselves in an abandoned country house where they have more appalling sex and eventually fall victim to a ridiculous sex-demon who kills them all. The acting performances are amateurish, the dialogs inane and primitive and Komizu's direction is weak and uninspired. I can tolerate all that, including the woman-unfriendly portrayal of sex, but I came too close to turning the film off during the indescribably mean-spirited wrestling sequence. One of the males brutally hits, kicks and throws around one of the girls and calls her a filthy whore until she literally pees her panties and cries with agony. This sequence is, in my humble opinion, the absolute low-point of Asian exploitation cinema. One to avoid and maybe even boycott.",negative
"This gets a two because I liked it as a kid, but it became so redundant that I just started to hate it... I can't give this a descriptive review because it would be restating one thing after the other, I probably wouldn't say anything that everyone else didn't say already.<br /><br />The only other thing about this show is that it's pretty nasty, with the kid with the boil to that twisted babysitter to the stupidity that runs around and about in it. I have a cousin that loves this show and he's the strangest and dumbest person I have met. This show should be pulled from the air. It's always the same thing over and over... They need to put better shows on Nick. I'm getting really really tired of stuff like this.",negative
"This film is one of the best memories I have from childhood. Having always loved Tigers my Mum took me to see it. <br /><br />It is absolutely amazing. Its is one of those films that leaves a lasting impression on you. The image of Tigers running through the snow with it all spraying around is still in my head some 25 yrs on, not many films have managed that, As other comments have said photography is stunning. A must see. I have also been looking for the film for some time with no luck at all. :-(. Checking Amazon every now and then reveals nothing, not even listed. If anyone does know of a source, please contact me or post here. Tim",positive
"This is absolutely the best movie I have ever watched. At the age of 12 I was up late and ran across the movie. It was on the USA channel, Gilbert Godfrey's Up All Night. I will never forget. At the time my friends and I were really struggling with different issues, some sexual. You know 12 is a very rough and weird age. It seems you are stuck in between being a little girl, and being a young lady. This movie really helped to answer a lot of questions for me. I now have a daughter that is 12. Have been searching for a couple years for this movie. If it ever does come out on DVD I would be the first to buy. Would recommend for any parent to watch this with their child when they reach that very rough and difficult age.",positive
"I rented this some years ago, the video store had only VHS at the time. Straight to video was hitting it's strides (you know, where the box covers use the same font and color schemes of successful films).I didn't know what to expect other than what was printed. First thing I thought while watching was ""what the hells' wrong with the sound?""-Obviously there was no dialogue dubbing. Words echoed, so I stopped munching on whatever I had to pay closer attention-mind you there's no Shakespeare here!,just simple talk. The story is simple enough, boy meets girl etc.. What struck me as humorous and heartfelt was, the people in the movie didn't seem like caricatures written into the story,but rather non-actors plucked temporarily from their real jobs(uniforms included). All the while, you begin to sense what the filmmaker is after,then see that there are no attempts at cheap humor(people hurting their privates,using vulgarities this couldn't have hurt the marketing. There was something honest about it. I thought if they'd have a bigger budget then it would have been better, which i'm sure they considered daily,but, they went ahead and made it. This, I felt, was what independent film-making is all about.The word ""Indy"", is thrown around as if it's a Genre..Ha!..that's funny!",positive
"I just wanted to leave a quick comment as its not listen on here ,but i have just seen this movie,the version I just rented was released in 2005 as far as I know and it was actually called ""Don't go into the attic"" I only realized it was the same movie as Devils Harvest upon searching for some of the actors who looked familiar in the movie. Anyways I'm in Ireland so maybe this has only been released over here and in the UK now,but thats what its called over here..........not really like it matters because I would not recommend this movie.The only words that spring to mind watching it are CHEESE CHEESE CHEESE!! My one mark out of ten is purely for the one little jumpy bit :o)",negative
"One of the unsung gems of the 1980's, Scenes... features razor-sharp satire and outstanding performances from Arnetia Walker (how did she not get a ton of roles after this?)and Wallace Shawn. It's a delicious send-up of class warfare and the people in those classes. The writing is hilarious and the characters, while not subtle, are nuanced. And, sorry, but the Asian gangs (if you can call one Japanese guy extorting one of the other characters a ""gang"") were not put in for ""sociological value"" as another review implies they should been. The value here lies in what the movie is making fun of and in the sparklingly wicked way it does it. I found it creative, funny, and idiosyncratic.",positive
"Both visually and musically stunning. A treat for both the eye and the ear. The quintessential Victorian element of the opening sequences were completely enchanting, helping to create a Christmas scene of which Dickens himself would have been justifiably proud. Technically the production is visually stimulating and the special effects are both imaginatively devised and creatively achieved in a traditional stage setting. The dancing of many of the lead artistes is breathtakingly good. The photography and lighting are first class and the sound recording admirably matches the overall high level of technical skills employed. A great film for all the family at Christmas time and a most delightful discovery which will withstand multiple viewing.",positive
"**SPOILERS** Simple movie about simple people who's problems are far too complex for them to handle.<br /><br />Natalie aka Sara Ravenna, Shirley Knight, has become overwhelmed with married life and the fact that she's now pregnant is the straw that breaks the camel's back. Taking off from her homes in Long Island New York Natalie has no idea where she's going but hopes to find peace and tranquility somewhere in the heartland of America. It's on the Pennsylvania Turnpike that Natalie picks up hitchhiker Jimmie ""Killer"" Kilgannon, James Cann,who seems as lost and confused as she is. As Natalie, calling herself Sara at the time, soon finds out Jimmie had suffered a serious brain concussion while playing football on his collage team and has been reduced to such a simple minded individual who's so passive that he lets everyone, including later in the movie Natalie, step all over him.<br /><br />Sympathetic at first Natalie becomes very annoyed at the self pitying Jimmie for not standing up for himself and letting himself be used as a doormat by everyone he comes in contact with in the movie. Not knowing what to do with the child-like Jimmie Natalie finally gets him a Job in far off Nebraska as a cleaning man at the Reptile Jungle pet market owned and run by, Mr. Alfred, Tom Aldrege. Being the both kind and simple-minded person that he is Jimmie lets all the animals out of their cages causing havoc at the pet store and has him fired by his boss Mr. Alfred.<br /><br />In the meantime Natalie who thought that she was finally through with Jimmie ends up back at the Reptile Jungle when she's given a speeding ticket by traffic cop Gordon, Robert Duvall. It seems that Mr. Alfred is also the acting county judge and is the person that Natalie is to pay her traffic fine to. While all this is happening Gordon-the cop- had developed a strong liking for Natalie and wants to get her in the sack, at his trailer home, the first chance he can. Gordon a widower with a uncontrollable 12 year old daughter Rosalie, Marva Zimmet, needs a mature woman-with lots of lovin'- to make him forget his many social and psychological problems and Natalie is exactly the medicine that the doctor ordered!<br /><br />***SPOILERS*** Wild and shocking final with Gordon going completely out of his mind and attempting to rape Natalie, who refused his drunken advances, which has Jimmie finally get out of his self-pitying stupor and came to her rescue. There's no happy ending here with Natalie saved from being both manhandled and raped by Gordon but Jimmie, who was bouncing Gordon around like a Ping-Pong ball, ending up dead for all his good and noble efforts.<br /><br />Jimmy by far was he most tragic and sympathetic person in the entire movie. All Jimmie wanted was a friend to talk to and spend time with and all he ended up getting was the sh*t end of the stick. By everyone even the one person who at first treated him with kindness and understanding Natalie Ravenna! In the end Jimmie even though he was treated like dirt by everyone despite his willingness not to offend even those who stepped all over him came out as the most likable kindest as at the same time heroic person in the entire film.",positive
"It takes patience to get through David Lynch's eccentric, but-- for a change-- life-affirming chronicle of Alvin Straight's journey, but stick with it. Though it moves as slow as Straight's John Deere, when he meets the kind strangers along his pilgrimage we learn much about the isolation of aging, the painful regrets and secrets, and ultimately the power of family and reconciliation. Richard Farnsworth caps his career with the year's most genuine performance, sad and poetic, flinty and caring. And Sissy Spacek matches him as his ""slow"" daughter Rose who pines over her own private loss while caring for dad. Rarely has a modern film preached so positively about family.",positive
"Dressed to Kill starts off with Kate Miller (Angie Dickinson) having a sexually explicit nightmare, later on that day she visits her psychiatrist Dr. Robert Elliott (Michael Caine) for a session in which she admits to be sexually frustrated & unfulfilled in her current marriage. Kate then visits a museum & picks up a stranger, they go back to his apartment for casual sex, when done Kate is set to leave but is attacked & killed in the buildings elevator by a razor blade wielding blonde woman. Prostitute Liz Blake (Nancy Allen) discovers the gruesome scene & sees the killer but manages to escape. Detective Marino (Dennis Franz) says he suspects Liz as being the killer as there are no other witnesses so Liz teams up with Kate's son Peter (Keith Gordon) to track down the real killer, clear Liz's name & see that justice is done...<br /><br />Written & directed by Brian De Palma I thought Dressed to Kill was a good solid psychological murder mystery. The script is measured & slow at times but it likes to focus on the character's so you really know them, the entire first twenty minutes is just developing Kate as a character before she is suddenly killed off, then the film switches it's attentions to Liz & no one else gets a look in. This way Dressed to Kill is quite absorbing & engaging, unfortunately the character's themselves aren't exactly likable. I found some of the dialogue quite funny at times, especially the dirty talk that Liz spouts occasionally. The killers motives are somewhat plausible but I guess you'd have to be pretty messed up to do anything suggested in Dressed to Kill. It's a good film but it didn't excite me that much & I didn't really find any character to root for or like. The film tacks on a needless & unnecessary twist ending that I didn't really see the point of.<br /><br />Director De Palma directs with style & visual flair, from the art museum sequence to a car chase & as a whole it's impeccably filmed throughout. I'd imagine that every shot in Dressed to Kill had a great deal of thought put into it. I felt the film was a bit flat & uninspired at times though, nothing about it really excited me that much. There is a fair bit of nudity, some sex & rape along with a few bits of gore & violence, Kate's murder by razor blade in the elevator being the highlight, if that's the right word. However, it's by no means as shocking or controversial when viewed today as many would have you believe.<br /><br />With a supposed budget of about $6,500,000 Dressed to Kill has that glossy high production value feel of a Hollywood film. The New York locations are nice, the cinematography is good & as a whole it's extremely well made. I thought the music was inappropriate & was far to loud & intrusive. The acting is OK but despite his top billing I didn't think Caine had that much screen time. Allen was married to director De Palma at the time Dressed to Kill was made, interestingly out of the four films she appeared in made by De Palma in two of them, this & Blow Out (1981), he cast her as a prostitute... A body double was used for Dickinson as she pleasures herself in a shower at the start.<br /><br />Dressed to Kill is a good thriller that is well worth watching but I didn't think it quite lived up to it's lofty reputation. Good but not brilliant.",positive
"I'm disappointed at the lack of posts on this surprising and effective little film. Jordi Mollà, probably best known for his role as Diego in Ted Demme's ""Blow"" Writes, directs, and stars.<br /><br />I won't give away any plot points, as the movie (at least for me) was very exciting having not known anything about it.. If you have a netflix account, or have access to a video store that would carry it...I highly recommend it. It's a crazy, fun, and sometimes very thought provoking creation.<br /><br />Mollà's direction is *quite* impressive and shows a lot of promise.<br /><br />Unpredictable, with amazing imagery and a great lead performance spoken in beautiful Spanish ""No somos nadie"" (God is on Air) is an amazing film you can show off to your friends.<br /><br />SEE IT.",positive
"I remember having a pretty low regard for a venture like this when it was first released. James ""Not Jim"" Belushi, a hammy kid actress, and a cheesy title in a John Hughes formula. You couldn't have paid me to see it 15 years ago. But, I got caught up watching it while wasting away a Sunday afternoon, and it hits me on a couple of levels. The fairy tale (part Pretty Woman, part reverse Pretty Woman), the very vulnerable, Elizabeth_Perkins_in_Miracle_On_42nd_Street -like performance by Kelly Lynch, the escapism. Over all, it gently pulls some very nice strings. It's pretty hard not to fall into the story, develop a crush on Kelly Lynch, identify with James Belushi, dislike the stiff bad guy boyfriend, and laugh at the Curley Sue lines. Has all the ups and downs, with a happy ending, and the kind of message you want to hear. Go ahead, waste your time on this movie, it's worth it.",positive
"Men In Black 2 was a real disappointment for me. While the actors did a pretty good job, especially Smith, there just isn't a cure for a poor script once in production. The movie really had a ""sequel"" kind of feel, playing off partial events of the first film. The story was, in a word... bad, at best. It wasn't thought out well, and seemed very choppy and incoherent at times.<br /><br />In the first flick, the MIB Organization had a kind of ""elite"" force feel. You had a few special agents, and it had a ""clandestine"" kind of feel to it. In the sequel, the MIB Organization has a JROTC Summer Camp vibe.<br /><br />The movie wasn't terrible or anything.. it just lacked the ""coolness"" (for lack of a better phrase) of the first movie. A lot of the same old humor was recycled from the first to the second, and didn't really add any originality to the MIB Universe.<br /><br />A perfect analogy would be Episode 1 to the first 3 films. Was it decent? Yeah. Is it worthy of bearing it's title? Not really.",negative
